name,created_at,language,stars,forks
ai-app-builder,2026-01-20T04:01:30Z,Python,0,0
assignment_tds,2025-05-14T02:49:53Z,,0,0
breakup_recovery,2025-11-20T08:17:50Z,Python,0,0
breast_cancer_prediction,2024-11-09T23:26:22Z,Jupyter Notebook,0,0
customer_segmentation_netflix,2026-02-06T13:14:14Z,Jupyter Notebook,0,0
Employee-directory,2024-12-17T19:09:22Z,JavaScript,0,0
employee_directory,2025-01-01T16:05:50Z,Python,0,0
Ikea-global-sales-insights,2025-09-10T08:37:14Z,HTML,0,0
ipl-match-prediction,2025-11-11T17:57:27Z,Python,0,0
portfolio,2024-10-30T08:45:45Z,HTML,0,0
primetrade_project,2026-02-04T15:03:15Z,Jupyter Notebook,0,0
sales_forcast,2025-11-11T11:20:06Z,Python,0,0
scholars,2024-12-05T09:02:24Z,JavaScript,0,0
students_zone,2024-09-19T16:26:08Z,JavaScript,0,0
tds_pro,2025-02-09T13:37:20Z,,0,0
TDS_project_Assignment_solver,2025-03-31T09:26:36Z,Python,0,0
todo-app,2025-06-11T04:24:47Z,JavaScript,0,0
tripper,2025-07-06T19:37:28Z,Python,0,0
valentine-proposal,2026-02-05T06:23:31Z,,0,0
valentines_proposal,2026-02-04T05:16:46Z,HTML,0,0
Vendor-markets,2023-12-20T17:18:38Z,,0,0
web_scraping,2024-10-31T07:48:40Z,Python,0,0
